,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed (MPH)
0,Mar del Plata,0,AR,1594897332,50,-38.0,-57.56,55.99400000000007,4.1
1,Cabo San Lucas,5,MX,1594903431,62,22.89,-109.91,93.2,5.1
2,Pangnirtung,20,CA,1594879318,51,66.15,-65.71,62.6,2.42
3,Albany,97,US,1594891965,58,42.6,-73.97,78.99800000000002,0.45
4,Kavieng,85,PG,1594929789,70,-2.57,150.8,81.95,0.88
5,Humberto de Campos,19,BR,1594890013,67,-2.6,-43.46,84.45200000000008,1.96
6,Ushuaia,0,AR,1594903538,89,-54.8,-68.3,32.0,1.5
7,Quirinópolis,0,BR,1594893225,29,-18.45,-50.45,83.174,3.8
8,Hilo,1,US,1594914627,65,19.73,-155.09,82.4,2.6
9,Bethel,90,US,1594892060,60,41.37,-73.41,75.99199999999999,4.1
10,Havre-St-Pierre,1,CA,1594887749,35,50.23,-63.6,73.4,6.7
11,Port Hardy,75,CA,1594902950,87,50.7,-127.42,57.2,4.6
12,Mchinji,0,MW,1594872759,70,-13.8,32.88,50.288000000000046,4.39
13,Jumla,79,NP,1594942976,72,29.27,82.18,64.16600000000001,0.86
14,Barrow,90,US,0,80,71.29,-156.79,35.6,5.7
15,Shimoda,100,JP,1594928606,96,34.67,138.95,62.00600000000003,0.45
16,Tucupita,100,VE,1594893375,66,9.06,-62.05,86.27000000000007,3.3
17,Kapaa,40,US,1594915384,74,22.08,-159.32,84.00200000000008,5.7
18,Talnakh,40,RU,0,93,69.49,88.4,48.2,6.0
19,Tuktoyaktuk,75,CA,0,62,69.45,-133.04,55.400000000000006,5.7
20,Yellowknife,75,CA,1594894723,45,62.46,-114.35,66.99199999999999,2.6
21,Rikitea,100,PF,1594914003,83,-23.12,-134.97,73.47200000000004,1.85
22,Mossamedes,0,AO,1594877873,62,-15.2,12.15,67.69400000000007,0.81
23,Sambava,33,MG,1594868656,77,-14.27,50.17,70.7,4.51
24,Punta Arenas,75,CL,1594903665,93,-53.15,-70.92,32.0,2.6
25,Mataura,20,NZ,1594930817,98,-46.19,168.86,29.60600000000003,0.94
26,Klaksvík,0,FO,1594868980,87,62.23,-6.59,51.8,5.1
27,Rawson,94,AR,1594900025,76,-43.3,-65.1,45.05,3.67
28,Norman Wells,90,CA,1594895173,82,65.28,-126.83,62.6,4.6
