,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed (MPH)
0,Dikson,26,RU,0,94,73.51,80.55,41.162000000000056,2.66
1,Presidencia Roque Sáenz Peña,0,AR,1594896535,96,-26.79,-60.44,56.08399999999999,1.89
2,Ushuaia,0,AR,1594903538,79,-54.8,-68.3,28.4,4.1
3,Thompson,40,CA,1594894221,68,55.74,-97.86,66.2,2.6
4,Bredasdorp,0,ZA,1594964581,93,-34.53,20.04,39.2,2.6
5,Ponta do Sol,20,PT,1594966360,77,32.67,-17.1,68.0,2.1
6,Neuquén,75,AR,1594899998,70,-38.95,-68.06,46.4,1.5
7,Batagay-Alyta,100,RU,1594914944,82,67.8,130.41,46.70600000000003,1.27
8,Jamestown,90,US,1594893325,94,42.1,-79.24,73.00400000000005,1.5
9,Funadhoo,96,MV,1594947584,75,6.15,73.27,84.36200000000005,4.74
10,Rikitea,100,PF,1594914003,81,-23.12,-134.97,73.68800000000005,2.74
11,Mahina,75,PF,1594916896,69,-17.51,-149.49,82.4,2.1
12,Haines Junction,6,CA,1594901400,37,60.75,-137.51,68.99000000000002,4.01
13,Pevek,100,RU,0,98,69.7,170.31,38.78600000000007,1.51
14,Busselton,70,AU,1594941598,94,-33.65,115.33,51.00800000000001,7.89
15,Sakon Nakhon,40,TH,1594939087,100,17.16,104.15,89.99600000000005,2.6
16,Beyneu,46,KZ,1594946852,20,45.32,55.2,84.48800000000006,2.11
17,Constitución,100,CL,1594900504,89,-35.33,-72.42,52.71800000000009,4.12
18,Ribeira Grande,32,PT,1594968265,78,38.52,-28.7,69.0260000000001,5.66
19,Aksu,100,CN,1594941653,29,41.12,80.26,83.44400000000007,1.64
20,Mataura,45,NZ,1594930817,83,-46.19,168.86,39.00200000000008,1.34
21,Karratha,9,AU,1594939706,38,-20.74,116.85,74.53399999999999,1.88
22,Sitka,90,US,1594902702,72,57.05,-135.33,60.8,4.1
23,Pacific Grove,1,US,1594904509,72,36.62,-121.92,66.00200000000008,4.6
24,Lumeje,35,AO,1594961839,62,-11.55,20.78,55.04000000000002,4.72
25,Yellowknife,75,CA,1594894723,48,62.46,-114.35,69.00800000000001,1.5
26,Tasiilaq,1,GL,1594873307,72,65.61,-37.64,46.4,8.2
27,Geraldton,40,AU,1594941151,72,-28.77,114.6,59.0,7.7
28,Mar del Plata,0,AR,1594897332,86,-38.0,-57.56,48.992,1.0
29,Leningradskiy,92,RU,0,79,69.38,178.42,46.418000000000085,5.96
30,Bratsk,90,RU,1594932640,93,56.13,101.61,51.8,4.0
31,Hobart,20,AU,1594935349,70,-42.88,147.33,46.99400000000007,4.1
32,Hermanus,0,ZA,1594964760,88,-34.42,19.23,44.99600000000005,0.45
33,Fribourg,90,CH,1594958068,82,46.8,7.15,62.6,0.82
